tag	article
 6 7 8 9 11 12 13  	為因應全球淨零排放趨勢、供應鏈減碳壓力，以及極端氣候的負面衝擊，今(30)日由行政院龔明鑫政務委員率同環保署、經濟部、科技部、交通部及內政部正式公布我國「2050淨零排放路徑」，這是個跨世代、跨領域、跨國際的轉型工程，本次公布的路徑，是先拋出一個淨零轉型的對話基礎，希望引進各界力量，共同擘劃國家發展的大方向，讓淨零轉型成為臺灣發展的新動能。未來政府將推動「能源轉型」、「產業轉型」、「生活轉型」、「社會轉型」等四大轉型策略，以及建構「科技研發」、「氣候法制」兩大基礎環境，逐步實現2050淨零排放之永續社會。後續並將就十二個重要領域，提出「十二項關鍵戰略」，以整合跨部會資源，落實淨零轉型之長期願景目標。預期效益如下:　　◆ 政府投入帶動民間投資：至2030年累計帶動民間投資約4兆元以上。　　◆ 翻轉高進口能源依賴風險：進口能源依存度可由2021年97.4%，降至2050年50%以下。　　◆ 提升生活品質及環境永續發展：至2030年約減少2019年之空污量約30%。我國2050淨零轉型路徑規劃，將以總電力占比60~70%之再生能源，並搭9~12%之氫能，加上顧及能源安全下使用搭配碳捕捉之火力發電20~27%，以達成整體電力供應的去碳化。在非電力能源去碳化方面，除加速電氣化進程外，亦將投入創新潔淨能源之開發，如氫能與生質能以取代化石燃料，並搭配碳捕存再利用技術；同時將積極規劃山林溼地保育，擴增自然碳匯，藉以達成2050淨零排放之長期目標。此外，龔政委主動就以下議題進行說明。首先，針對缺電疑慮，淨零路徑規劃已計算每年2%+/-0.5%的用電成長需求，且隨著再生能源建置量的擴大，將會有越來越多的人可以買到綠電，沒有缺電問題。其次，針對中小企業轉型議題，政府會照顧中小企業，將保留一定比例的綠電，提供給中小企業購買，也會輔導企業建構減碳能力。另就燃油車議題，未來政府不會採取禁售/禁買燃油車的強制手段，而是透過補助及完善使用環境的方便性，提高民眾購買電動車的誘因，同時也鼓勵電動車廠商加速發展。龔政委強調，2050淨零轉型不只是因應氣候變遷的環保議題，更是經濟及產業的議題。台灣自2016年啟動能源轉型，已打下良好基礎，且能源政策始終和產業政策扣合，從五加二產業、六大核心戰略產業，到發展氫能、擴充電網設施儲能設備等，未來將帶動更多產業一起成長，經濟動能會持續，產業轉型也會更具競爭力。為使2030年以前成熟技術佈建最大化，並同步投入未來技術研發，經初步盤點，從2022年至2030年約有9千億的預算需求，從明年開始，前瞻預算、科技預算及公建預算都將納入「淨零排放」的項目。下一期前瞻計畫（112-113年）已預留一定額度；112年公建預算亦已規定所有「新興計畫」須和淨零碳排掛鉤。我國2050淨零排放轉型之長期願景係透過打造具競爭力、循環永續、韌性且安全之各項轉型策略及治理基礎，以促進經濟成長、帶動民間投資、創造綠色就業、提升能源自主並提升社會福祉。未來政府將陸續公布12項戰略計畫，並配合推出新的國家自願減量目標(NDC)；「2050淨零轉型」是必須動員整個國家一起完成的目標，不僅攸關競爭力，也關係環境永續，必須打下長治久安的基礎，才能留下一個更好的國家給年輕人。聯絡人：經濟發展處吳明蕙處長聯絡電話：(02) 2316-5851資料來源：國家發展委員會，2022年3月30日
 6 7 8 9 10 11 12 13  	因應蔡總統宣示臺灣2050年淨零排放的承諾，國家發展委員會在今(30)日公布「2050淨零排放路徑」，金融監督管理委員會(下稱金管會)表示，會積極配合國家減碳政策，持續推動綠色金融支持綠色產業，希望透過金融機制，進一步建構完善的永續發展生態圈。今日國發會公布之「2050淨零排放路徑」臚列推動能源轉型、產業轉型、生活轉型及社會轉型四大策略。配合本淨零排放路徑，金管會將透過綠色金融，運用金融機構管理及運用資金的影響力，將資金導引到符合永續的企業或專案，促使企業重視永續議題。同時透過上市櫃公司永續發展路徑圖，以分階段之方式先推動上市櫃公司完成溫室氣體盤查之資訊揭露，利用以大帶小的方式，目標為116年完成全體上市櫃公司的溫室氣體盤查，並於118年完成溫室氣體盤查之查證。在碳盤查的過程中，企業可知道自身在哪些製程或商品中排碳最多，且需要轉型，後續能訂定減碳目標，進而達成國家淨零排放的承諾。為引導金融業及企業重視氣候變遷議題及永續發展，金管會由下列四面向，持續推動「綠色金融行動方案」：(一)運用資金與投融資決策力，引導企業邁向永續發展；(二)強化資訊揭露，讓投資人及利害關係人瞭解企業辨認的風險及因應方式；(三)增強氣候韌性，提升金融業主動因應及掌握ESG及氣候相關風險與商機的誘因；(四)協助金融機構對產業之支持，有效促成減碳轉型，促使企業重視並落實ESG，進一步建構完善的永續金融生態圈。金管會已推動之措施包含強化ESG資訊揭露、訂定我國永續分類法、鼓勵金融機構辦理綠色及永續投融資、鼓勵金融機構發展綠色及永續金融商品、強化金融機構因應氣候風險的韌性、鼓勵金融業簽署國際永續相關原則或倡議，及強化永續金融人才培育等。未來推動重點包括：規劃辦理永續金融評鑑；研議精進永續分類法(如擴大產業及經濟活動類別、滾動檢討技術篩選標準)；進一步強化資訊透明度以及滾動修正綠色金融行動方案等。永續發展是一場長遠的賽跑，金管會希冀透過永續金融政策的推動，以行穩致遠的腳步讓永續的概念與精神逐步深化於各產業的文化中，建構完善的生態系，達成追求永續發展的良性循環，共享永續的成果。聯絡單位：綜合規劃處　聯絡電話：（02）8968-0032如有任何疑問，請來信：本會民意信箱資料來源：金管會，2022年3月30日
 13  	蔡英文總統今（21）日上午出席「ESG永續臺灣第二屆國際高峰會開幕典禮」時表示，面對2050的淨零挑戰，我們要在「能源轉型要繼續、產業轉型要加速、生活轉型要啟動、社會轉型要公正」等四大轉型路徑上，讓國家持續前進。總統致詞時首先感謝今周刊發行人梁永煌和團隊，舉辦這場多元面向的論壇。與會者不只有公部門的夥伴，還有來自業界、學界的頂尖人才，開啟了一個產、官、學的交流平台。總統表示，談到永續，全世界都重視「2050淨零轉型」，她要特別強調，邁向2050，不只是全世界的挑戰，也是臺灣的挑戰。這條路確實非常困難，但臺灣一定要成功。總統也表示，我們要克服這項挑戰，除了公部門的努力，還需要產業界龐大的能量以及臺灣世界一流的學術人才，透過三方共同合作，就是臺灣成功的關鍵。總統提到，政府從2016年開始推動能源轉型、發展再生能源，讓我們在全球發展綠能、減少碳排的路上，邁出重要的第一步。但要面對2050的淨零挑戰，應該要在四大轉型路徑上，讓國家持續前進。總統指出，第一，能源轉型要繼續，除了成熟的再生能源以及增氣減煤的路徑要加強，新的能源包括氫能、前瞻綠能，更要進一步研究和發展。總統表示，第二，產業轉型要加速，出口導向的臺灣產業要全力展開製程改善、能源轉換及循環經濟的努力，我們要讓公私部門一起投入資源，因應新的經貿情勢。總統進一步指出，第三，生活轉型要啟動，不管是食、衣、住、行等生活的每個面向，都要開始改變。公有建築要走向低碳，運輸工具也要面對淨零轉型的變革。總統進一步表示，最後則是社會轉型要公正。2050淨零轉型，對每個人的生活都會帶來變化。在這個過程中，做好社會溝通，確保公民參與、公正轉型，同樣是我們重要的目標。總統談及，國發會正持續彙整各部會規劃，將在3月底公布「臺灣 2050 淨零排放總說明」。這不是提供一個標準答案，而是拋出一個淨零轉型的對話基礎，啟動下一個階段的社會對話。總統認為，在這個關鍵時刻，臺灣的未來不能自我設限，而是要透過確實的討論，把整個國家的能量都釋放出來。她已經請國發會在規劃路徑時，把現有的情況、可預期的進步、未來的研發能量以及所有所需的資源，都要一起考量進去。總統說，除了政府的資源，民間跟產業的能量也要一起加入。今天金管會也在現場，她剛才亦聆聽了蕭翠玲副主委的報告。這幾年來，金管會持續推動綠色金融，帶動資金支持再生能源，已經跨出重要一步。總統表示，接下來，政府會持續協助金融機構，引導資金，並且和業界密切合作落實ESG，協助更多企業打入國際供應鏈。我們公私部門一起合作，克服邁向2050淨零排放的種種挑戰。總統指出，政府和產業要合作，產業之間將採取「先大後小」、「以大帶小」的模式，由指標大企業帶頭，共同減緩轉型過程中可能帶來的衝擊，也要把握，甚至是創造新的淨零商機。總統強調，「2050淨零轉型」是整個國家總動員，必須一起完成的目標，也期許大家，抱持著引領未來的雄心壯志，讓淨零轉型成為臺灣發展的新動能。並祝福今天的論壇圓滿順利。包括金管會副主委蕭翠玲及今周刊發行人梁永煌等亦出席是項活動。資料來源：總統府，2022年3月21日
 4 16 	為鼓勵大專校院法律系(所)師生參與推動中小學及社區法治教育，進而發揮大專校院法律系(所)學生專業知能，增進其生活與服務經驗，協助深化校園及社區法治教育觀念，培養知法守法的現代公民，透過辦理中小學或社區法律諮詢服務及法治教育宣導，落實十二年國教課綱涵育公民責任的課程目標。       為深化法治教育宣導，並符應校園實務需要，教育部將「民主法治及法律基本概念價值」、「校園霸凌事件防制」、「網路散布不當影片法律責任」、「反詐騙預防」、「毒品危害防制」、「人口販運防制」、「修復式正義理念」、「校園智慧財產權保護」、「保護動物防範凌虐」、「防制涉入不良組織」、「國民法官制度」、「加強犯罪被害人保護方案」、「民法成年年齡下修為18歲」、「性騷擾及性侵害防治」、「家庭暴力防治」等15項法治教育宣導主題，請各校據以結合活動內涵與時事議題，讓法治教育從小扎根，進而延伸至家庭與社區，讓法治觀念變成一種生活常識。111年補助17所大專校院法律系所，部分學校活動特色如下：一、    國立臺灣海洋大學海洋法律研究所：為基隆地區培養海洋公法與私法專門學者的法律學術機構，為推廣法律生活化，結合法律服務社長期舉辦免費法律諮詢服務，提供基隆在地居民，有關海洋法學及生活法律相關問題參考建議；更結合十二年國教課綱之法治教育實質內涵，協助辦理基隆地區中、小學法治教育講座；並嘗試深入基隆地區社區辦理法治相關演講，實踐全民法治教育工作；並與學校附近的派出所、守望相助隊合作，在遇到有法律相關問題需求的民眾時，提供該社法律諮詢傳單，並應用網路社群媒體(如Dcard、FB)，讓民眾與學生更容易取得法律諮詢與協助資訊。二、    東海大學法律學系：為深化中小學生法律知識，長期透過法律短劇方式進行法治教育宣導，以輕鬆活潑的短劇內容，規劃貼近學童生活日常議題 (如：校園霸凌、智慧財產權之保護、毒品危害防治宣導及反詐騙宣導等)，教導學童遇到觸法情事如何自我保護與防範，深化學童法治教育觀念；另於校內設置免費法律諮詢，提供學校師生及中部地區民眾使用，以減輕民眾在面對法律問題不安及尋求法律諮詢時經濟上的負擔。東海大學法律學院院長卓俊雄表示「同學們在規劃與執行中小學法治教育活動及社區律師諮詢活動，不僅可以學習社會服務的重要性，同時也培養學生關懷社會與服務貢獻的精神，是法律學系在培養人才很重要的一環。」三、    靜宜大學法律學系法律服務社：為增進原鄉國小學童法治教育知能，109年前往南投仁愛鄉廬山國小舉辦原住民法治教育營隊，以國民法官模擬法庭，讓學童穿法袍體驗，藉由角色扮演，了解司法運作模式，並以戲劇、遊戲及故事的互動方式，帶領學童討論性騷擾、毒品防制及校園霸凌問題。法律服務社副社長的胡湘翎同學分享：「這是我第一次辦理原鄉法治教育營隊，過程中感謝原鄉孩子們與家長的熱情參與，活動最後一天，孩子拿著一朵花，走到我的身邊說：『姐姐，這個給妳！』，這朵花充滿著孩子對營隊的肯定與喜歡，花小小的卻充滿力量！」111年靜宜大學將延續這股力量，前進南投縣都達國小服務，期待這朵法治教育的小花，慢慢在原鄉生根與茁壯。四、    高雄大學法學院法律服務社：以在地深耕方式服務大高雄地區並進行校園法治教育宣導，法律服務社長許正儒同學分享：「雖然110年將近一半的時間都被疫情所影響，但我們在疫情趨緩之際，前往翠屏里辦理社區法律諮詢；到心路基金會進行以『金錢糾紛如何處理』、『遇到性騷擾怎麼辦』等為主題的法律短劇故事表演，將重要法治觀念以淺顯易懂方式傳達給心智發展較緩慢的夥伴們；並帶著即將步入社會的高雄市左營高中學子們，走訪臺灣高雄地方法院進行實地學習，介紹我國法院制度。從活動的規劃到實踐，才發現原來我們在校所學的法律專業，可以透過活潑、生動、簡易的方式傳達給需要協助的民眾，更從被協助的民眾回饋，感受到服務與專業發揮專業的幸福感。」       教育部鼓勵各大專校院法律系（所）師生發揮專業所長與服務熱忱深耕中小學及社區法治教育服務，並透過多元且創新的方式，讓法律變得容易了解且貼近生活日常，深化全民的法律知能與公民意識。教育部未來也將持續推動「加強學校法治教育計畫」，促使法治教育由學校教育擴展到家庭教育與社會教育，涵養全民具備法治知能，讓社會更朝良善發展。資料來源：教育部，2022年3月19日
 6 12 	投資臺灣事務所今(18)日「中小企業加速投資行動方案」聯審會議再添1家群穎塑膠中小企業擴大投資2億元。目前「中小企業加速投資行動方案」已通過783家中小企業投資約3,367億元，帶來29,520個本國就業機會。截至目前總計投資臺灣三大方案已帶動1,180家企業投資約1兆6,718億元，預估創造13萬3,206個本國就業機會，後續尚有6家企業排隊待審。群穎塑膠為高品質PVC塑膠粒研發與製造公司，擁有粉體造粒核心技術，可依客戶端需求調整塑膠粒的軟硬、顏色、耐酸鹼及抗寒度。由於塑膠適用性廣闊，且現在市場趨勢走向生質塑膠、低碳排訴求，為因應市場與強化研發量能，規劃投入近2億元，在臺中市梧棲一、二廠進行廠房整建與設備升級，建置聚氯乙烯（PVC）、醋酸纖維素（CA）、熱塑性彈性體（TPE）與熱塑性橡膠（TPR）等新型環保材料之塑膠粒產線，引進最先進智慧化節能機械，汰換老舊效能不佳設備，廠房屋頂亦有架設太陽能板，期望降低傳統石化業製程產出之大量碳排，也為國內增加8個就業機會。資料來源：經濟部，2022年3月18日
 1 11 	新竹市政府擬定「新竹市房屋稅徵收率自治條例」修正草案，市府指出，感謝新竹市議會今日審議通過，自治條例將於今（111）年7月1日正式上路，即自112年房屋稅開徵適用，實現居住正義。新竹市長林智堅表示，非常感謝議會的大力支持，讓新竹市為抑制囤房炒作，實現居住正義邁出一大步。新竹市稅務局表示，本次修法影響戶數約有1.4萬戶，其他22萬2,922戶即93.77%的納稅義務人都不受影響。新竹市稅務局表示，修正後新竹市房屋稅徵收率自治條例不影響自住用房屋且不轉嫁房客，僅針對非自住用房屋按持有戶數採差別稅率課徵，5戶以下稅率從1.5％調整為2.4％，6戶以上稅率則從1.5％調整為3.6％，另為避免對非以囤房為目的房屋造成重大負擔或轉嫁租屋者，明定出租符合租賃住宅市場發展及管理條例第十七條第一項規定之租賃住宅或依住宅法第十九條規定興辦之社會住宅等7種非自住用房屋，仍按單一稅率1.5％稅率課徵。新竹市稅務局強調，本次修正是為提高多屋族的房屋持有成本，房屋供自住使用且自然人本人、配偶及未成年子女全國合計3戶以內，仍適用1.2%自住用房屋優惠稅率，本次修法完全不受影響。僅針對非自住用房屋徵收稅率做調整。民眾如有任何疑問，請洽稅務局網站、AI智能客服或撥03-5225161轉401-418、0800-000321、1999市民服務專線，將有專人竭誠為您服務。資料來源：新竹市政府，2022年3月18日
 4 	為提供幼兒園更安全優質的學習環境，教育部國教署訂定「教育部國民及學前教育署補助直轄市縣（市）政府充實及改善幼兒園教學環境設施設備作業要點」， 持續補助公立幼兒園充實及改善幼兒園教學環境設施設備經費，110年度共補助769所公立幼兒園進行園內設施設備改善，111年度也持續受理幼兒園申請案件。       舉例來說，110年度補助臺南市立第一幼兒園圖書室設備經費，該園以藍天綠地為意象，搭配園內朝氣蓬勃之氛圍，設計出具森林風格的圖書室，以藍天、大樹及河流等元素，搭配光線及通風流暢設計，營造出動靜皆宜的意象，並以高度之變化，區隔出師生進行閱讀互動的多元展演空間，讓幼兒享受自學、互學與共學的樂趣。       而南投縣新興國小附幼教室設施設備改善案，該園運用補助經費增置光桌，提供具透光性的素材讓幼兒能就近取用，並採木質色系及善用植栽以培養幼兒的美感；而教保服務人員透過光桌設計教學，培養幼兒從初期使用線條、形狀鋪排，到後期已能運用多種媒材進行與生活經驗相關的堆疊創作。同時設置鬆散素材區，以特別訂製的ㄇ字桌交叉而成，讓桌子更能靈活運用在各個學習區中，教室內軟性與開放的環境，都在邀請孩子進區挑戰，落實讓環境成為第三位老師，提升幼兒的學習動機。       另外，110年補助嘉義市立復國幼兒園設施設備改善案，其運用補助經費將彩虹廣場屋頂拆除及更新地墊，並增加遮陽格柵，格柵使用跳色方式與廣場地墊上的園內吉祥物相互搭配，用活潑有朝氣的色調迎接孩童上學，並與其一同在嶄新的彩虹廣場遊玩。       國教署表示，為維護幼兒園安全及提供更優質的學習環境，使孩子能在園內開心學習，將持續鼓勵公立幼兒園申請充實改善及幼兒園教學環境設施設備經費，並透過學校巧思，營造優質的學習環境，點亮孩子的教育之路。資料來源：教育部，2022年3月18日
 11 	新北市打造全國唯一導入智能管理、可遠端監測儀器及環境狀態的火災鑑識中心，今(17)日舉行落成典禮，由市長侯友宜親自主持，他表示，火災鑑識中心融合調查跟鑑識，將科技快速的運用於火災現場，能更有效率提高鑑定能力，找到明確的真相。侯友宜說，火災鑑識中心引進最新的科學鑑識器材，包括電子顯微鏡、氣相質譜分析儀、解熱儀等，可以快速提供大數據分析，精進新北市在火災現場的鑑識能力，以科技化保障人民生命財產安全。今日也特別發表火災鑑識公仔「神探犀妞」，消防局表示，火災鑑識中心共有6位女性同仁，她們具備細膩蒐證調查及敏銳分析的能力，所以有「神探犀妞」公仔的發想，身著沉穩的深藍色鑑識服裝、勘察鞋及工具包，手持放大鏡，如同名偵探「福爾摩斯」的專業形象，同時也融入女力意象。新北市率先全國於109年9月18日改制成立火災鑑識中心，占地180坪且耗資兩千餘萬購置精密儀器及設備，透過科技系統輔助，建立火災調查系統資料庫，同時與學界翹楚合作，整合鑑識及火害程度等大數據析分析，找出火災態樣及潛勢危害地區，將成果反饋至防火政策上。消防局指出，火災鑑識中心歷經五股爆炸案、八仙塵爆、三重六張街縱火、新莊部北醫院等重大火災案件，均能迅速還原起火處所及災因，釐清肇事責任歸屬，作為司法審判的重要立論，未來也會持續強化勘察及鑑驗技術，為市民提供更高品質的服務。資料來源：新北市政府，2022年3月17日
 1 	為健全原住民族保留地的法源與管理體系，並具體落實「原住民族基本法」保障原住民族土地權利的精神，行政院會今（17）日通過原住民族委員會擬具的「原住民族保留地管理利用條例」草案，將函請立法院審議。行政院長蘇貞昌表示，該條例將現行「原住民保留地開發管理辦法」提升至法律位階，規範原住民族土地回復、取得、處分、管理及利用等事項，具體落實「原住民族基本法」保障原住民族土地權利的精神。本案送請立法院審議後，請原民會積極與立法院朝野各黨團溝通協調，早日完成立法程序。原民會表示，為健全原住民族保留地的法源與管理體系，解決長期以來原住民族土地實質流失與建地不足的問題，並落實原基法保障原住民族土地權利的精神，爰依原基法第二十條第三項規定及蔡英文總統提出之原住民族政策具體主張，擬具「原住民族保留地管理利用條例 」草案。該草案要點如下：一、本條例之立法目的、用詞定義、原住民族保留地登記及原住民族保留地土地權利審議會辦理事項。（草案第一條至第六條）二、原住民族保留地政策目的、原住民申請無償取得國有原住民族保留地與鄉（鎮、市、區）公所辦理國有原住民族保留地公告分配之要件、程序及原住民取得土地面積限額。（草案第七條至第十條）三、國有原住民族保留地及原住民保留地相關事項。（草案第十一條至第十三條）四、原住民保留地繼承應具原住民身分。（草案第十四條）五、無償取得國有原住民族保留地所有權後喪失原住民身分，應限期將土地移轉予原住民。（草案第十五條）六、原住民族保留地及原住民保留地上建物之移轉以原住民或政府機關為限。（草案第十六條）七、原住民保留地不得設定地上權、典權、農育權或抵押權予非原住民相關事項。（草案第十七條）八、得由政府承受原住民保留地之情形。（草案第十八條）九、原住民族保留地增編、劃編要件、程序相關事項。（草案第十九條至第二十二條）十、政府機關或學校申請撥用國有原住民族保留地相關規範。（草案第二十三條及第二十四條）十一、國有原住民族保留地作為工商業、宗教建築設施、興辦事業、自耕自用等出租使用相關規範。（草案第二十五條至第二十九條）十二、國有原住民族保留地出租衍生之收益納入原住民族綜合發展基金保管、運用之。（草案第三十條）十三、原住民族保留地經辦理建築用地統一規劃興辦事業計畫後，得分配土地予原住民無償使用之相關規範。（草案第三十一條）十四、原住民使用之原住民族保留地、原住民保留地及其地上物，受限制使用致權益受損時，應予補償。（草案第三十二條）十五、中央主管機關應建置原住民族保留地土地管理資訊系統。（草案第三十三條）資料來源：行政院，2022年3月17日
 6 12 	"Taipei, March 16 (CNA) The National Development Council (NDC) will soon present a road map for Taiwan to achieve net zero emissions, NDC head Kung Ming-hsin (龔明鑫) told lawmakers Wednesday.At a legislative hearing, Kung said the proposal for reaching net-zero emissions by 2050 will be made public by the end of March and lay out the country's future energy mix.It will also include proposals for revising laws and regulations to facilitate efforts to reduce greenhouse gas emissions and measures to promote new technologies, such as electric vehicles, he said.Last year, President Tsai Ing-wen (蔡英文) pledged Taiwan will join with over 120 countries in the world to try to achieve net zero emissions by 2050, through an economy that either emits no greenhouse gas emissions or offsets its emissions.She said the government would draw up a road map toward net zero emissions in 2022 to provide guidelines to government agencies as well as the private sector.Kung did not provide any other details on what the plan may include, but Taiwan's efforts to date on renewable energy have focused on solar power and offshore wind power.The government had planned for renewable energy to account for 20 percent of Taiwan's electricity supply by 2025, though those plans have fallen behind schedule.Other options floated by the NDC have been seeking international cooperation on the development of hydrogen energy and carbon capture and storage technology.The council said it has been in talks with industry representatives on the promotion of decarbonized energy systems, higher energy efficiency in various industries, green transportation, and negative emission technologies.Though the 2050 goal of net-zero emissions has been widely adopted, the Intergovernmental Panel on Climate Change's (IPCC) latest report on climate change issued at the end of February painted an extremely grim picture of the future and said more urgency was needed now.Many of the effects of climate change would be worse than previously predicted, the report said, and action, including the safeguarding and strengthening of nature, could no longer be put off.""The world faces unavoidable multiple climate hazards over the next two decades with global warming of 1.5°C. Even temporarily exceeding this warming level will result in additional severe impacts, some of which will be irreversible,"" the IPCC said in a statement on the report.""Any further delay in concerted global action will miss a brief and rapidly closing window to secure a liveable future,”warned IPCC Working Group II Co-Chair Hans-Otto Pörtner.Sources:Overseas Community Affairs Council (OCAC )"
