SDG_NO,NAME,Title,Content,Link
1,no-poverty,1.4.3 Programmes for services access,"NCKU's Programmes for Services Access
NCKU has been organizing training and programs to improve access to basic services for all directly and indirectly, especially in medical education and service. NCKU has collaborated with Kenya National Hospital on AVF/AVG collaboration projects, exchange programs, and volunteering groups. Moreover, NCKU provides several liberal education programs for students to learn basic knowledge of injury and emergency. Through such courses, students can understand the connotation of emergency medicine, with the knowledge and skills related to professional medicine, and the handling principles under special emergency conditions. Also, they introduce students to the most common sports injuries that may occur in physical activity and sport, and its management and prevention.
LINK 1: National Cheng Kung University Hospital cooperated with Kenya to establish a Health and medical cooperation program in Africa.
LINK 2: First Aid in Emergency
LINK 3: Management and Prevention of Sports Injury
#YEAR2019 #YEAR2020
",https://2030.sdg.ncku.edu.tw/project/1-4-3-programmes-for-services-access/
1,no-poverty,1.3.5 Low or lower-middle income countries student support,"Low or lower-middle income countriesstudent support
NCKU has many schemes to support students from low or lower-income countries, and most of them receive subsidies on living costs and tuition fees.
1. NCKU-SinoPac Scholarship provides scholarships for graduate students and undergraduate students are respectively $100,000 per person and $50,000 per person, while aids for all students are $80,000 per person. Among the 60 scholarship/aid winners, 25 of them are foreign students, reaching a percentage of 41.6%.
2. NCKU establishes Butterfly-ASEAN Scholarship, a talent cultivation program for industry-university cooperation, to subside outstanding Vietnamese students to study in Taiwan.
3. Veritas et Conscientia Scholarship (VCS) for Existing PhD Students only to support research and development in each department of universities.
4. The Rotary service of The Taiwan Rotary Academic Scholarships program supports the mission of The Chung Hwa Rotary Educational Foundation to promote education, research, and invention, to encourage the specialists and scholars of this country to devote themselves to research and invention, and promote the understanding and friendship of people in different countries.
Link 1: NCKU-SinoPac Scholarship
Link 2: Butterfly-ASEAN Scholarship
Link 3: Veritas et Conscientia Scholarship
Link 4: Taiwan Rotary Academic Scholarships
",https://2030.sdg.ncku.edu.tw/project/1-3-5-low-or-lower-middle-income-countries-student-support/
1,no-poverty,1.4.4 Policy addressing poverty,"NCKU's Policy Addressing Poverty
NCKU has devoted several dimensions to end poverty. On the local and national level, NCKU also launched the “New School Lunch Promoting Program” (Link 1). Through the program, it can ensure the effective use of food/ ingredients. On the global level, NCKU has two programs: one is “NCKU Yen-Hang Program and Rural Service Program” (Link 2), another is National Cheng Kung University Hospital cooperating with Kenya to establish a Health and medical cooperation program in Africa (Link 3).
LINK 1:NCKU-New School Lunch Promoting Program
LINK 2:NCKU Yen-Hang Program and Rural Service Program- Help disadvantaged students to study abroad
LINK 3:National Cheng Kung University Hospital cooperated with Kenya to establish Health and medical cooperation program in Africa
#Year 2019 #Year 2020
",https://2030.sdg.ncku.edu.tw/project/1-4-4-policy-addressing-poverty/
1,no-poverty,1.4.2 Local start-up financial assistance,"NCKU’s Local start-up financial assistance
In order to assist the start-up groups in the university, NCKU offers various courses and subsidies.
1. 2021 NCKU “You're the NEXT!” Start-up Assistance Project was rounded off. This year, 40 Start-up groups displayed their product prototypes in the NCKU Dream Come True Carnival.
2.NCKU establishes a fine mechanism for supporting innovative enterprise through Directions of NCKU Innovative Enterprise.
3. 2021 NCKU U-Start Start-up Assistance Project offers subsidies to the selected Start-up groups. Moreover, the groups with outstanding performance can gain another 250,000~1,000,000NTD.
4.NCKU U-Start Start-up Assistance Project focuses on Start-up groups composed by aboriginal students. The aim of the project is to cultivate aboriginal talents and create a fine start-up environment.

Link1: 2020 NCKU DemoDay in the Week of Start-up. 40 Start-up Teams Displayed Their Prototypes
Link 2: Directions of NCKU Innovative Enterprise
Link 3: 2021 NCKU U-Start Start-up Assistance Project
Link 4: NCKU U-Start Aboriginal Start-up Assistance Project
",https://2030.sdg.ncku.edu.tw/project/1-4-2-local-start-up-financial-assistance/
1,no-poverty,1.4.1 Local start-up assistance,"Local start-up assistance
NCKU provides assistance for local start-up of sustainable businesses through free workshops, networking events, premium consulting services, and etc.
1. In 2015, NCKU established the Start-up Workshop together with the Ministry of Science and Technology in order to provide local start-up companies/teams with the courses of technical support, business model, and entrepreneurial matchmaking. Until 2019, over 150 start-up teams stationed in Start-up Workshop (located in Tainan), 79 teams opened companies (the total amount of capital exceeds 1.47 billion NTD), 9 teams stationed in Incubation Center of the workshop, and 13 teams started the science business in the workshop.
2.  Moreover, NCKU GLORIA (Global Research and Industry Alliance) is composed of account officers from various fields with the aims of building a prosperous ecosystem.
3. More than that, NCKU X POLYU 10-week Entrepreneurship Development Programme targets the University's researchers and research teams to search for potential market and application of their technologies.
Link 1: Nanke Entrepreneurship Workshop News
Link 2: NCKU GLORIA
Link 3: NCKU X POLYU 10-week Entrepreneurship Development Programme
",https://2030.sdg.ncku.edu.tw/project/1-4-1-local-start-up-assistance/
1,no-poverty,1.3.4 Bottom financial quintile student support,"Bottom financial quintile student support
NCKU extends financial support for students who come from the bottom 20% of the household income group. NCKU provides plenty of scholarships to assist students to complete their studies, go abroad for research, and etc.
1. NCKU offers exemptions and subsidies for students who hail from low- and middle-income households, students with disabilities and their children, students with aboriginal nationality and families with special circumstances. Tuition and miscellaneous fees will be gradually reduced or exempted using relevant documents.
2. NCKU provides living expenses for economically disadvantaged students. The amount applied should be assessed according to the actual needs of the student. Students can apply for 6 months’ living expenses, and the amount should not exceed 10,000 NTD per month.
3. NCKU provides subsidies such as scholarships, tuition and miscellaneous fees, emergency relief, subsidies for disadvantaged students as well as school loans.
Link 1: NCKU Disadvantaged Students Assistance Platform
Link 2: Study at Ease Bursary
Link 3:Banyan Garden Studying Assistance Website
",https://2030.sdg.ncku.edu.tw/project/1-3-4-bottom-financial-quintile-student-support/
1,no-poverty,1.3.2 Bottom financial quintile student success,"NCKU's Bottom financial quintile student success
NCKU has been implementing several programs and services to mentor students from low-income families for their studies and living, to help them complete their studies successfully. Cheng Xing Admission Project was established in 2017 in the purpose of leading the striving students from low-income families to gain higher education. After these students start their life in NCKU, diverse helping programs provide them proper assistance not only on financial issues but also school work. NCKU’s Aiding Underprivileged Groups Project and Chen Hsi Bursary provide students from low-income families the nassarary financial help. What's more, learning assistance is provided by the NCKU Aiding Underprivileged Groups Project as well.NCKU strives on aiding students from bottom financial quintile background to complete their education.
Link 1: Cheng Xing Admission Project 2020- Bring Hope for Striving Students
Link 2: Cheng Xing Admission Project 2020- Bring Hope for Striving Students
Link 3:Aiding Underprivileged Groups Project Platform
#Year 2020
",https://2030.sdg.ncku.edu.tw/project/1-3-2-bottom-financial-quintile-student-success/
1,no-poverty,1.3.1 Bottom financial quintile admission target,"Bottom financial quintile admission target
According to statistics from The Directorate General of Budget, Accounting and Statistics, the lowest 20% of disposable income per household was NT$350,189 in 2019, and NT$354,959 in 2020.Each county sets up qualifications of low-income households and middle-low income households according to the announced minimum living expenditure. According to the investigation in 2020, the lowest living expense for each individual is around NT11,648~17,005.
NCKU has been implementing several programs and services to admit students from low-income and low and middle income  families for years. Since 2017, through the Cheng Xing Admission Project, NCKU has provided annually over 40 freshmen students of bottom financial quintile background a new entrance of higher education. Moreover, NCKU constantly offers tuition and miscellaneous fee exemptions and  school loans for the students in the bottom financial background. The students who come from families whose annual household income is lower than NT1,200,000 can apply for school loans with lower interest rates. Various subsidies, such as Chen Hsi Bursary, Disadvantaged Student Bursary, and Students under Poverty Line Subsidy, are given to such students as well.
Link 1:Cheng Xing Admission Project 2020- Bring Hope for Striving Students
Link 2:NCKU Aiding Underprivileged Groups Project
Link 3:(2021 Fall) Application Rules of School Loan
#Year2020
",https://2030.sdg.ncku.edu.tw/project/1-3-1-bottom-financial-quintile-admission-target/
1,no-poverty,1.3.3 Low-income student support,"Low-income student support
NCKU has been providing various supports for students from low-income families, such as free accommodations, subsidies on living costs, and etc. NCKU provides disadvantaged students whose families have lower than 700,000NTD annual income with bursary. Each student can gain to an extend of 16,500NTD per year. Furthermore, NCKU offers free/ low-fee dormitories for low-income students. In addition, NCKU provides Study at Ease Bursary, releasing the pressure of living expenses of low-income students.Every student can apply for every semester(six month) up to 10,000NTD per month.
Link 1: NCKU Disadvantaged Students Burary
Link 2: Offer Free/ Low-fee Dormitories for Low-income Students
Link 3: Study at Ease Bursary
",https://2030.sdg.ncku.edu.tw/project/1-3-3-low-income-student-support/
1,no-poverty,Collaborations with NGOs on SDGs,"成大醫院和肯亞2007年開始進行醫療衛生合作計畫，每年派出自願醫師前往肯亞指導，期使透過台灣醫療技術及經驗傳承，提升當地病患的醫療及生活品質。成大醫院12年來協助肯亞培訓了50名醫護人員，協助肯亞當地的血液透析病患，進行自體與人工血管瘻管手術，降低了感染死亡率，同時提升病患的生活品質。雙邊醫療衛生合作計畫，從早期的災難預防及公共衛生教育訓練，至今與肯亞當地規模最大的肯亞塔國立醫院共同合作辦理心臟血管外科示範手術，及血液透析護理訓練。
在實際研究成果上，為提升我國航空工業競爭力，校長蘇慧貞與漢翔航空簽署「漢翔－成大航空工業共同研發中心」協議書，攜手成立一個共同研發中心作為雙方合作的平台，提供未來雙方多元領域的合作機制，以達到培育專業與系統整合的高階人才、除強化產學合作效能、也能促進灣航空工業升級。同時，也與金融業永豐銀行共同成立「Atelier Future未來智慧工場」，揭示合作以來的成果。最後，在防疫上，成大向全球發表展示自主研發的台灣版「移動式緊急部署檢疫醫院原型QurE」。該設計採取模組化組裝，能因地制宜快速搭建檢疫醫院負壓病房組合，並可規劃醫護與病患動線分離，在防疫期間迅速提供安全、健康且高品質的醫療環境。QurE原型屋從設計概念到實體建造的所有研發設計過程都在網站公開，提供全球下載。
另一方面，在教育資源方面，成大創立「沙崙智慧產業創新聯盟」，針對智慧醫療、循環經濟、未來運輸、減碳綠能四大議題，展開對話與交流，共同商討沙崙綠能科學城的未來展望。成大躬先表率，將擔任執行工作，成立「沙崙綠能智慧創新推動平台」，設「推動委員會」、「政府．企業．大學協力的法人」，確立整體願景目標，執行方向等，形成有效執行的幕僚機制與中央對接，回應政府所擘劃的願景藍圖。陳其邁院長表示，成大在各領域都是頂尖的大學，將是大方南方計畫啟動的大腦，行政院會全力支持成大，支持沙崙智慧產業創新聯盟運作。
",https://2030.sdg.ncku.edu.tw/project/3053-2/
